Local time,Open,High,Low,Close,Volume
31.12.2021 03:00:00.000 GMT+0300,1.13219,1.13863,1.13032,1.13667,48312.0703
01.01.2022 03:00:00.000 GMT+0300,1.13667,1.13667,1.13667,1.13667,0
02.01.2022 03:00:00.000 GMT+0300,1.13690,1.13782,1.13649,1.13727,2816.3684
03.01.2022 03:00:00.000 GMT+0300,1.13726,1.13755,1.12797,1.13017,83782.2031
04.01.2022 03:00:00.000 GMT+0300,1.13016,1.13224,1.12721,1.12827,101693.5781
05.01.2022 03:00:00.000 GMT+0300,1.12826,1.13463,1.12769,1.13105,97800.3516
06.01.2022 03:00:00.000 GMT+0300,1.13104,1.13318,1.12845,1.12949,108688.4531
07.01.2022 03:00:00.000 GMT+0300,1.12947,1.13647,1.12899,1.13593,83255.7344
08.01.2022 03:00:00.000 GMT+0300,1.13593,1.13593,1.13593,1.13593,0
09.01.2022 03:00:00.000 GMT+0300,1.13515,1.13602,1.13497,1.13534,4986.0581
10.01.2022 03:00:00.000 GMT+0300,1.13533,1.13580,1.12847,1.13299,88736.6328
11.01.2022 03:00:00.000 GMT+0300,1.13297,1.13752,1.13130,1.13658,67545.0313
12.01.2022 03:00:00.000 GMT+0300,1.13657,1.14526,1.13547,1.14394,79072.8047
13.01.2022 03:00:00.000 GMT+0300,1.14393,1.14817,1.14357,1.14564,72076.1719
14.01.2022 03:00:00.000 GMT+0300,1.14564,1.14827,1.13984,1.14090,75134.1016
15.01.2022 03:00:00.000 GMT+0300,1.14090,1.14090,1.14090,1.14090,0
16.01.2022 03:00:00.000 GMT+0300,1.14118,1.14156,1.14056,1.14112,2648.6001
17.01.2022 03:00:00.000 GMT+0300,1.14111,1.14344,1.13917,1.14100,48767.2852
18.01.2022 03:00:00.000 GMT+0300,1.14099,1.14214,1.13146,1.13286,89386.6328
19.01.2022 03:00:00.000 GMT+0300,1.13289,1.13571,1.13187,1.13429,71207.7578
20.01.2022 03:00:00.000 GMT+0300,1.13427,1.13688,1.13031,1.13128,76293.3125
21.01.2022 03:00:00.000 GMT+0300,1.13129,1.13596,1.13009,1.13418,70294.9297
22.01.2022 03:00:00.000 GMT+0300,1.13418,1.13418,1.13418,1.13418,0
23.01.2022 03:00:00.000 GMT+0300,1.13396,1.13450,1.13365,1.13409,3555.8401
24.01.2022 03:00:00.000 GMT+0300,1.13410,1.13410,1.12904,1.13236,101149.5469
25.01.2022 03:00:00.000 GMT+0300,1.13235,1.13240,1.12631,1.13028,82894.3125
26.01.2022 03:00:00.000 GMT+0300,1.13028,1.13107,1.12354,1.12405,103115.8516
27.01.2022 03:00:00.000 GMT+0300,1.12405,1.12432,1.11312,1.11445,107559.7031
28.01.2022 03:00:00.000 GMT+0300,1.11446,1.11735,1.11213,1.11450,107494.8203
29.01.2022 03:00:00.000 GMT+0300,1.11450,1.11450,1.11450,1.11450,0
30.01.2022 03:00:00.000 GMT+0300,1.11422,1.11524,1.11380,1.11519,2783.23
31.01.2022 03:00:00.000 GMT+0300,1.11519,1.12478,1.11440,1.12292,97010.7891
01.02.2022 03:00:00.000 GMT+0300,1.12293,1.12786,1.12209,1.12730,86148.9375
02.02.2022 03:00:00.000 GMT+0300,1.12728,1.13300,1.12665,1.12992,69272.6641
03.02.2022 03:00:00.000 GMT+0300,1.12992,1.14514,1.12672,1.14355,130913.4688
