Item Code-رقم الصنف|Barcode-الباركود|Product Name Arabic-اسم الصنف عربى|Description Arabic-وصف الصنف عربى|Product Name English-اسم الصنف انجليزى|Description English-وصف الصنف انجليزى|Unit Item Barcode-الباركود للوحدة |No Of Unit Items-عدد الوحدات|Unit Weight/size-وزن/سعة الوحدة|Unit UOM-وحدة القياس|Package UOM-وحدة قياس الحزمة-التغليف|Cost Price-سعر التكلفة|Selling Price-سعر البيع|Brand-Trade Mark English-اسم العلامة التجارية انجليزى|Brand-Trade Mark Arabic-اسم العلامة التجارية عربى|MoCI Product Group-المجموعة السلعية - بالوزارة|Country of Oragen Name-اسم بلد المنشأ|Country of Oragen ISO3-كود 3 لبلد المنشأ|HS Code-رمز المنسق الجمركي|Supplier CR-رقم السجل التجارى للمورد|Supplier Name-اسم المورد|Category Level 1-تصنيف السلعة 1|Category Level 2-تصنيف السلعة 2|Category Level 3-تصنيف السلعة 3|Category Level 4-تصنيف السلعة 4|Width-العرض|Height-الطول|Depth-الارتفاع
270033|5711953135682|بوك شبيه القشطة معقم 160جرام                                |بوك شبيه القشطة معقم 160جرام                                |PUCK STERILIZED CREAM PLAIN 160GM                           |PUCK STERILIZED CREAM PLAIN 160GM                           ||1|0.16|KG|PCS|4.75|5.25|PUCK                ||CREAM (COOKING-WHIPPING) - الكريمة الطبخ الخفق|Qatar                                   |Qatar                                   |21069099|0|ARLA FOODS QATAR W.L.L                            |||||||
256249|40900400265|باسكن روبنز خميرة مخفوقه شديدة الخفة                        |باسكن روبنز خميرة مخفوقه شديدة الخفة                        |BASKIN ROBBINS WHIPPED LIGHT CREAM 425G                     |BASKIN ROBBINS WHIPPED LIGHT CREAM 425G                     ||1|0.425|KG|PCS|23.5|25.75|BASKIN ROBBINS      ||CREAM (COOKING-WHIPPING) - الكريمة الطبخ الخفق|Qatar                                   |Qatar                                   |21069099|0|TRANSIND TRADING AND DISTRIBUTION                 |||||||
267180|6191514011102|سمارت شيف تحضير الكريمة المخفوقة 72 جم                      |سمارت شيف تحضير الكريمة المخفوقة 72 جم                      |SMART CHEF PREP FOR WHIPPED CREAM 72G                       |SMART CHEF PREP FOR WHIPPED CREAM 72G                       ||1|0.072|KG|PCS|6.75|7.25|SMART CHEF          ||CREAM (COOKING-WHIPPING) - الكريمة الطبخ الخفق|Qatar                                   |Qatar                                   |21069099|CR 42109                                |UNIVERSAL BUSINESS LIMITED                        |||||||
247048|9501100118233|ريم غسول هاي فوم معطر 3 كيلو                                |ريم غسول هاي فوم معطر 3 كيلو                                |REEM HIGH FOAM DET 3KG BAG                                  |REEM HIGH FOAM DET 3KG BAG                                  ||1|3|KG|PCS|10.882|13.25|REEM                ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|0|QATAR DETERGENTS CO.W.L.L.(PEARL)                 |||||||
256912|8001841709901|أريل اوريجنال 1.5 كغ سبيسيال أفر                            |أريل اوريجنال 1.5 كغ سبيسيال أفر                            |ARIEL LS ORIG 1.5KG @SPC OFF                                |ARIEL LS ORIG 1.5KG @SPC OFF                                ||1|1.5|KG|PCS|16.39|16.5|ARIEL               ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |PRIME CONSUMER PRODUCT(ALI BIN ALI)               |||||||
256913|8001841725147|تيد اوريجنال 1.5 كغ سبيسيال أفر                             |تيد اوريجنال 1.5 كغ سبيسيال أفر                             |TIDE HS ORG B8 1.5KG@SPC OFF                                |TIDE HS ORG B8 1.5KG@SPC OFF                                ||1|1.5|KG|PCS|15.89|16|TIDE                ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |PRIME CONSUMER PRODUCT(ALI BIN ALI)               |||||||
256914|8001841725208|تيد جسمين حث 1.5 كغ سبيسيال أفر                             |تيد جسمين حث 1.5 كغ سبيسيال أفر                             |TIDE HS JAS B8 1.5KG@SPC OFF                                |TIDE HS JAS B8 1.5KG@SPC OFF                                ||1|1.5|KG|PCS|15.89|16|TIDE                ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |PRIME CONSUMER PRODUCT(ALI BIN ALI)               |||||||
261766|8001841291086|مسحوق غسيل اريال 1.5 كجم  )                                 |مسحوق غسيل اريال 1.5 كجم  )                                 |ARIEL DETERGENT POWDER 1.5KG(DAG RENKLI+AQUA PUDRA)         |ARIEL DETERGENT POWDER 1.5KG(DAG RENKLI+AQUA PUDRA)         ||1|1.5|KG|PCS|12|13.75|ARIEL               ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|0|TRANSIND TRADING AND DISTRIBUTION                 |||||||
252350|8001841534534|أريل حث  وذ ذي توش أف دوني 3 كغ                             |أريل حث  وذ ذي توش أف دوني 3 كغ                             |ARIEL HS WASHING POWDER 3KG                                 |ARIEL HS WASHING POWDER 3KG                                 ||1|3|KG|PCS|30|31.5|ARIEL               ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |PRIME CONSUMER PRODUCT(ALI BIN ALI)               |||||||
220170|9501100118394|بيرل هاى فوم 110 جرام                                       |بيرل هاى فوم 110 جرام                                       |PEARL HIGH FOAM POWDER 110GM                                |PEARL HIGH FOAM POWDER 110GM                                ||1|0.11|KG|PCS|1.58|1.75|PEARL               ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|0|QATAR DETERGENTS CO.W.L.L.(PEARL)                 |||||||
263477|9501100117045|جوهرة بلس رغوة عالية التنظيف110                             |جوهرة بلس رغوة عالية التنظيف110                             |JAWAHAR PLUS HF DETERGENT 110GM                             |JAWAHAR PLUS HF DETERGENT 110GM                             ||1|0.11|KG|PCS|0.99|1.25|JAWAHAR             ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|0|QATAR DETERGENTS CO.W.L.L.(PEARL)                 |||||||
259343|8001841725260|اريال مسحوق غسيل اتش اس الأصلي 3 كغ                         |اريال مسحوق غسيل اتش اس الأصلي 3 كغ                         |ARIEL FP HS ORIGINAL 3KG@SP                                 |ARIEL FP HS ORIGINAL 3KG@SP                                 ||1|3|KG|PCS|32.75|32.75|ARIEL               ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |PRIME CONSUMER PRODUCT(ALI BIN ALI)               |||||||
264485|8001841932514|تايد مسحوق غسيل 3 كلغ                                       |تايد مسحوق غسيل 3 كلغ                                       |TIDE LS ORIGINAL 3KG FP @SP 27%                             |TIDE LS ORIGINAL 3KG FP @SP 27%                             ||1|3|KG|PCS|31|31|TIDE                ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |PRIME CONSUMER PRODUCT(ALI BIN ALI)               |||||||
264484|8001841932484|تايد مسحوق غسيل 3 كلغ                                       |تايد مسحوق غسيل 3 كلغ                                       |TIDE HS ORIGINAL 3KG FP @SP 27%                             |TIDE HS ORIGINAL 3KG FP @SP 27%                             ||1|3|KG|PCS|31|31|TIDE                ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |PRIME CONSUMER PRODUCT(ALI BIN ALI)               |||||||
220171|9501100118066|بيرل هاى فوم 260 جرام                                       |بيرل هاى فوم 260 جرام                                       |PEARL HIGH FOAM POWDER 260GM                                |PEARL HIGH FOAM POWDER 260GM                                ||1|0.26|KG|PCS|2.7|3|PEARL               ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|0|QATAR DETERGENTS CO.W.L.L.(PEARL)                 |||||||
259344|8001841725239|ايريال صابون ملابس 3 كلغ                                    |ايريال صابون ملابس 3 كلغ                                    |ARIEL FP LS ORIGINAL 3KG@SP                                 |ARIEL FP LS ORIGINAL 3KG@SP                                 ||1|3|KG|PCS|32.81|33|ARIEL               ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |PRIME CONSUMER PRODUCT(ALI BIN ALI)               |||||||
220175|9501100118387|بيرل  اتوماتيك 260 جرام                                     |بيرل  اتوماتيك 260 جرام                                     |PEARL LOW FOAM POWDER 260GM                                 |PEARL LOW FOAM POWDER 260GM                                 ||1|0.26|KG|PCS|2.7|3|PEARL               ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|0|QATAR DETERGENTS CO.W.L.L.(PEARL)                 |||||||
247098|6281006506121|أومو باودر 110 جم لغسالات التحميل العلوي                    |أومو باودر 110 جم لغسالات التحميل العلوي                    |OMO DETERGENT TOP LOAD 110GM                                |OMO DETERGENT TOP LOAD 110GM                                ||1|0.11|KG|PCS|2.12|2.25|OMO                 ||Washing powder - مساحيق الغسيل|Qatar                                   |Qatar                                   |34025021|                                        |AL MANA & PARTNERS (LEVER PROD)                   |||||||
